issue_number,repository,title,description,labels,created_at,comments,reactions,url
1,angular/angular,"Certain `@let` values can mimic internal data structure, breaking basic runtime logic","### Which @angular/* package(s) are the source of the bug?

core

### Is this a regression?

Yes

### Description

Before hydration and using signals my code worked. I refactored it to use signals and incremental hydration and it broke. The error message was not really meaningful: `Cannot add property i18nNodes, object is not extensible`

I use [apollo-angular](https://www.npmjs.com/package/apollo-angular) which freezes every object in its state and results. The state cannot be modified.

### Please provide a link to a minimal reproduction of the bug

_No response_

### Please provide the exception or error you saw

```true
Cannot add property i18nNodes, object is not extensible

The line where the error has happened is https://github.com/angular/angular/blob/4491704fbaec02db8eec5845ffbb200dbf2a0bf6/packages/core/src/hydration/i18n.ts#L660
```

### Please provide the environment you discovered this bug in (run `ng version`)

```true
NX 20.3.0
Angular 19.0.5
Angular SSR 19.0.6
```

### Anything else?

Workaround:

Unfreeze the object using some hacky js code: `const unfrozenObj = JSON.parse(JSON.stringify(obj));`

Possible solutions:
Check before trying to set the values if the object is frozen using: `Object.isExtensible(object)`.
1. Throw an error that the state is not extensible and provide some information on the current component which has the error.
2. Show a warning during development and provide some information on the current component which has the error. In production mode ignore it.
3. Ignore setting the values without any warning.

I am very happy to code and make a PR on any of the solutions if the Angular team has decided.","['area: core', 'state: has PR', 'P2', 'bug']",2025-01-13T16:40:46Z,11,1,https://github.com/angular/angular/issues/59504
2,angular/angular,JavaScript heap out of memory after using signal inputs,"### Command

build

### Is this a regression?

- [ ] Yes, this behavior used to work in the previous version

### The previous version in which this bug was not present was

_No response_

### Description

Hi,

I have a lib with about 5000 components, all are similar and svg like this:

```
@Component({
  selector: 'svg[si-alarm-icon]',
  standalone: true,
  imports: [],
  template: `
    <svg:path stroke=""none"" d=""M0 0h24v24H0z"" fill=""none"" />
    <svg:path
      d=""M16 6.072a8 8 0 1 1 -11.995 7.213l-.005 -.285l.005 -.285a8 8 0 0 1 11.995 -6.643zm-4 2.928a1 1 0 0 0 -1 1v3l.007 .117a1 1 0 0 0 .993 .883h2l.117 -.007a1 1 0 0 0 .883 -.993l-.007 -.117a1 1 0 0 0 -.993 -.883h-1v-2l-.007 -.117a1 1 0 0 0 -.993 -.883z""
    />
    <svg:path
      d=""M6.412 3.191a1 1 0 0 1 1.273 1.539l-.097 .08l-2.75 2a1 1 0 0 1 -1.273 -1.54l.097 -.08l2.75 -2z""
    />
    <svg:path
      d=""M16.191 3.412a1 1 0 0 1 1.291 -.288l.106 .067l2.75 2a1 1 0 0 1 -1.07 1.685l-.106 -.067l-2.75 -2a1 1 0 0 1 -.22 -1.397z""
    />
  `,
  styles: ``,
  encapsulation: ViewEncapsulation.None,
  changeDetection: ChangeDetectionStrategy.OnPush,
})
export class SiAlarmIcon implements OnInit {
  private readonly elementRef = inject(ElementRef);
  private readonly render = inject(Renderer2);

  ngOnInit(): void {
    const svg = this.elementRef.nativeElement;
    this.render.setAttribute(svg, 'xmlns', 'http://www.w3.org/2000/svg');
    this.render.setAttribute(svg, 'width', '24');
    this.render.setAttribute(svg, 'height', '24');
    this.render.setAttribute(svg, 'viewBox', '0 0 24 24');
    this.render.setAttribute(svg, 'fill', 'currentColor');
  }
}
```

The build for this lib is working fine, You can check this GitHub action: https://github.com/khalilou88/semantic-icons/actions/runs/12750337283/job/35534834902


I decided to use signal inputs to allow users to change inputs and I changed the implementation to be like this:

```
@Component({
  selector: 'svg[si-alarm-icon]',
  standalone: true,
  imports: [],
  template: `
    <svg:path stroke=""none"" d=""M0 0h24v24H0z"" fill=""none"" />
    <svg:path
      d=""M16 6.072a8 8 0 1 1 -11.995 7.213l-.005 -.285l.005 -.285a8 8 0 0 1 11.995 -6.643zm-4 2.928a1 1 0 0 0 -1 1v3l.007 .117a1 1 0 0 0 .993 .883h2l.117 -.007a1 1 0 0 0 .883 -.993l-.007 -.117a1 1 0 0 0 -.993 -.883h-1v-2l-.007 -.117a1 1 0 0 0 -.993 -.883z""
    />
    <svg:path
      d=""M6.412 3.191a1 1 0 0 1 1.273 1.539l-.097 .08l-2.75 2a1 1 0 0 1 -1.273 -1.54l.097 -.08l2.75 -2z""
    />
    <svg:path
      d=""M16.191 3.412a1 1 0 0 1 1.291 -.288l.106 .067l2.75 2a1 1 0 0 1 -1.07 1.685l-.106 -.067l-2.75 -2a1 1 0 0 1 -.22 -1.397z""
    />
  `,
  host: {
    '[attr.xmlns]': 'xmlns()',
    '[attr.width]': 'width()',
    '[attr.height]': 'height()',
    '[attr.viewBox]': 'viewBox()',
    '[attr.fill]': 'fill()',
  },
  styles: ``,
  encapsulation: ViewEncapsulation.None,
  changeDetection: ChangeDetectionStrategy.OnPush,
})
export class SiAlarmIcon {
  readonly xmlns = input<string>('http://www.w3.org/2000/svg');

  readonly width = input<string | number>('24');

  readonly height = input<string | number>('24');

  readonly viewBox = input<string>('0 0 24 24');

  readonly fill = input<string>('currentColor');
}
```

Now the build don't work and I have JavaScript heap out of memory.

```
------------------------------------------------------------------------------
Building entry point '@semantic-icons/tabler-icons/outline'
------------------------------------------------------------------------------
- Compiling with Angular sources in Ivy partial compilation mode.
✔ Compiling with Angular sources in Ivy partial compilation mode.
<--- Last few GCs --->
[2192:0x6c895d0]   14[37](https://github.com/khalilou88/semantic-icons/actions/runs/12750704442/job/35536032390#step:5:38)03 ms: Mark-Compact (reduce) 4045.6 (4143.9) -> 4044.8 (4143.7) MB, 3194.72 / 0.00 ms  (average mu = 0.324, current mu = 0.229) allocation failure; GC in old space requested
[2192:0x6c895d0]   146870 ms: Mark-Compact (reduce) 4045.6 (4144.0) -> 4045.2 (4144.2) MB, 3164.06 / 0.00 ms  (average mu = 0.180, current mu = 0.001) allocation failure; GC in old space requested
<--- JS stacktrace --->
FATAL ERROR: Reached heap limit Allocation failed - JavaScript heap out of memory
----- Native stack trace -----
 1: 0xb8d0a3 node::OOMErrorHandler(char const*, v8::OOMDetails const&) [/opt/hostedtoolcache/node/20.18.1/x64/bin/node]
 2: 0xf06250 v8::Utils::ReportOOMFailure(v8::internal::Isolate*, char const*, v8::OOMDetails const&) [/opt/hostedtoolcache/node/20.18.1/x64/bin/node]
 3: 0xf06537 v8::internal::V8::FatalProcessOutOfMemory(v8::internal::Isolate*, char const*, v8::OOMDetails const&) [/opt/hostedtoolcache/node/20.18.1/x64/bin/node]
 4: 0x11180d5  [/opt/hostedtoolcache/node/20.18.1/x64/bin/node]
 5: 0x112ff58 v8::internal::Heap::CollectGarbage(v8::internal::AllocationSpace, v8::internal::GarbageCollectionReason, v8::GCCallbackFlags) [/opt/hostedtoolcache/node/20.18.1/x64/bin/node]
 6: 0x1106071 v8::internal::HeapAllocator::AllocateRawWithLightRetrySlowPath(int, v8::internal::AllocationType, v8::internal::AllocationOrigin, v8::internal::AllocationAlignment) [/opt/hostedtoolcache/node/20.18.1/x64/bin/node]
 7: 0x1107205 v8::internal::HeapAllocator::AllocateRawWithRetryOrFailSlowPath(int, v8::internal::AllocationType, v8::internal::AllocationOrigin, v8::internal::AllocationAlignment) [/opt/hostedtoolcache/node/20.18.1/x64/bin/node]
 8: 0x10e4856 v8::internal::Factory::NewFillerObject(int, v8::internal::AllocationAlignment, v8::internal::AllocationType, v8::internal::AllocationOrigin) [/opt/hostedtoolcache/node/20.18.1/x64/bin/node]
 9: 0x15[40](https://github.com/khalilou88/semantic-icons/actions/runs/12750704442/job/35536032390#step:5:41)831 v8::internal::Runtime_AllocateInOldGeneration(int, unsigned long*, v8::internal::Isolate*) [/opt/hostedtoolcache/node/20.18.1/x64/bin/node]
10: 0x7fd5df4d9ef6
```

More info here: https://github.com/khalilou88/semantic-icons/actions/runs/12750704442/job/35536032390







### Minimal Reproduction

The code is public here: https://github.com/khalilou88/semantic-icons
The brunch that have the problem is `inputs`

The command to run is : `npx nx run tabler-icons:build:production --skip-nx-cache`

You can also run `Build tabler-icons` workflow

I understand if it's out of scope, since I am using NX, just want to share this. 

### Exception or Error

```text

```

### Your Environment

```text
PS D:\Workspace\Projects\semantic-icons> ng version

     _                      _                 ____ _     ___
    / \   _ __   __ _ _   _| | __ _ _ __     / ___| |   |_ _|
   / △ \ | '_ \ / _` | | | | |/ _` | '__|   | |   | |    | |
  / ___ \| | | | (_| | |_| | | (_| | |      | |___| |___ | |
 /_/   \_\_| |_|\__, |\__,_|_|\__,_|_|       \____|_____|___|
                |___/


Angular CLI: 19.0.7
Node: 20.18.0
Package Manager: npm 10.0.0
OS: win32 x64

Angular: 19.0.6
... animations, common, compiler, compiler-cli, core, forms
... language-service, platform-browser, platform-browser-dynamic
... router

Package                         Version
---------------------------------------------------------
@angular-devkit/architect       0.1900.7
@angular-devkit/build-angular   19.0.7
@angular-devkit/core            19.0.7
@angular-devkit/schematics      19.0.7
@angular/cli                    19.0.7
@schematics/angular             19.0.7
ng-packagr                      19.0.1
rxjs                            7.8.1
typescript                      5.6.3
zone.js                         0.15.0

PS D:\Workspace\Projects\semantic-icons>
```

### Anything else relevant?

_No response_","['area: compiler', 'state: needs more investigation', 'bug']",2025-01-13T15:56:28Z,4,3,https://github.com/angular/angular/issues/59502
3,angular/angular,No lint warnings for signals used within  control flow.,"### Which @angular/* package(s) are relevant/related to the feature request?

_No response_

### Description

```
@for (breadcrumb of breadcrumbs(); track breadcrumb.name; let i = $index) {
          <div class=""breadcrumb"">
            @if (breadcrumb.linkPath) {
              <a class=""breadcrumb--link"" [routerLink]=""[breadcrumb.linkPath]""> {{ breadcrumb.name }}</a>
            } @else {
              <div class=""breadcrumb--disabled"">
                {{ breadcrumb.name }}
              </div>
            }

            @if **(i < breadcrumbs.length - 1)** {
              <inm-icon [name]=""'ChevronRight'"" [size]=""'x-small'""></inm-icon>
            }
          </div>
        }
```
There currently are no lint warnings for `i < breadcrumbs.length - 1`, my workaround ended up being:

```
@if (breadcrumbs()?.length; as breadCrumbsLength) {
      @if (breadcrumbs(); as breadcrumbs) {
        <div class=""breadcrumb-ct"">
          @for (breadcrumb of breadcrumbs; track breadcrumb.name; let i = $index) {
            <div class=""breadcrumb"">
              @if (breadcrumb.linkPath) {
                <a class=""breadcrumb--link"" [routerLink]=""[breadcrumb.linkPath]""> {{ breadcrumb.name }}</a>
              } @else {
                <div class=""breadcrumb--disabled"">
                  {{ breadcrumb.name }}
                </div>
              }

              @if (i < breadCrumbsLength - 1) {
                <inm-icon [name]=""'ChevronRight'"" [size]=""'x-small'""></inm-icon>
              }
            </div>
          }
        </div>
      }
    }
```

As directly using `i < breadcrumbs()?.length - 1` receives a linting error of object undefined, even if it's nested within an if statement here:

```
@if (breadcrumbs() && breadcrumbs()?.length) {
      <div class=""breadcrumb-ct"">
        @for (breadcrumb of breadcrumbs(); track breadcrumb.name; let i = $index) {
          <div class=""breadcrumb"">
            @if (breadcrumb.linkPath) {
              <a class=""breadcrumb--link"" [routerLink]=""[breadcrumb.linkPath]""> {{ breadcrumb.name }}</a>
            } @else {
              <div class=""breadcrumb--disabled"">
                {{ breadcrumb.name }}
              </div>
            }

            @if (i < breadcrumbs()?.length - 1) {
              <inm-icon [name]=""'ChevronRight'"" [size]=""'x-small'""></inm-icon>
            }
          </div>
        }
      </div>
    }
```

### Proposed solution

To still have linting errors if invoking signals within nested @if and @for statenents.

### Alternatives considered

n/a","['area: core', 'P4', 'bug', 'core: reactivity', 'cross-cutting: signals']",2025-01-07T10:42:04Z,3,0,https://github.com/angular/angular/issues/59394
4,angular/angular,Inputs on Component decorator do not support signal signals.,"### Which @angular/* package(s) are the source of the bug?

core

### Is this a regression?

No

### Description

Hi Team,

We are trying to migrate to signal inputs on a number of our base components. 

We have encountered an issue using the inputs array in the component decorator to expose the inputs in the base class. 

We are able to get the data to flow the component to the base class using attribute binding and the inputs array. However, the mechanism by which Angular does this does not seem to be able to detect that the base class is using signal inputs and the raw value is set in the base class.

For example if we do something like this - <component [context]=""{ entity: 'job }"" />. We expect that in the base class this will be set into the input signal. However, we find this that context property is now just an object. { context: { entity: 'job' }} 

It appears that the mechanism used to set the exposed inputs on components is not aware of signal inputs whilst the mechanism used for host directives is.

In my example I have included an simple inherited component and a component exposing inputs via host directives.

Kind Regards,
Tarek

### Please provide a link to a minimal reproduction of the bug

https://stackblitz.com/edit/stackblitz-starters-rrxvfhpf?file=src%2Fmain.ts

### Please provide the exception or error you saw

```true
The error is form the example above. More specifically from the InheritComponent example.

ERROR TypeError: this.context is not a function at Object.fn (inherit.component.ts:25:44)

Whilst in the HostDirectiveComponent I created I do not get an error and calling context() returns the value passed to the component because it is correctly set into the input signal.
```

### Please provide the environment you discovered this bug in (run `ng version`)

```true
Angular CLI: 19.0.5
Node: 20.18.1
Package Manager: bun 1.1.38
OS: darwin arm64

Angular: 19.0.4
... animations, common, compiler, compiler-cli, core, forms
... localize, platform-browser, platform-browser-dynamic
... platform-server, router

Package                         Version
---------------------------------------------------------
@angular-devkit/architect       0.1900.2
@angular-devkit/build-angular   19.0.5
@angular-devkit/core            19.0.5
@angular-devkit/schematics      19.0.5
@angular/build                  19.0.2
@angular/cdk                    19.0.3
@angular/cdk-experimental       19.0.3
@angular/cli                    19.0.5
@angular/ssr                    19.0.5
@schematics/angular             19.0.5
rxjs                            7.8.1
typescript                      5.5.3
zone.js                         0.15.0
```

### Anything else?

_No response_","['hotlist: error messages', 'area: core', 'core: inputs / outputs', 'P4', 'bug']",2024-12-17T07:04:38Z,3,1,https://github.com/angular/angular/issues/59214
5,angular/angular,The `provideAnimations()` return type is `Provider` instead of `EnvironmentProviders`,"### Which @angular/* package(s) are the source of the bug?

platform-browser

### Is this a regression?

No

### Description

The `provideAnimations()` return type is `Provider` which makes it possible to add it to the `providers: []` of standalone component which is never correct as the multiple provisions could lead to multiple instances of created injectables which leads to random errors at runtime.

For example we had case where `@if` was adding but never removing the created elements...

The `provideAnimationsAsync()` already returns correct `EnvironmentProviders` type which prevents this misuse

### Please provide a link to a minimal reproduction of the bug

_No response_

### Please provide the exception or error you saw

```true

```

### Please provide the environment you discovered this bug in (run `ng version`)

```true
_                      _                 ____ _     ___
    / \   _ __   __ _ _   _| | __ _ _ __     / ___| |   |_ _|
   / △ \ | '_ \ / _` | | | | |/ _` | '__|   | |   | |    | |
  / ___ \| | | | (_| | |_| | | (_| | |      | |___| |___ | |
 /_/   \_\_| |_|\__, |\__,_|_|\__,_|_|       \____|_____|___|
                |___/


Angular CLI: 19.0.2
Node: 22.11.0
Package Manager: npm 10.9.0
OS: linux x64

Angular: 19.0.1
... animations, cdk, common, compiler, compiler-cli, core, forms
... material, platform-browser, platform-browser-dynamic, router

Package                      Version
------------------------------------------------------
@angular-devkit/architect    0.1900.2
@angular-devkit/core         19.0.2
@angular-devkit/schematics   19.0.2
@angular/build               19.0.2
@angular/cli                 19.0.2
@schematics/angular          19.0.2
rxjs                         7.8.1
typescript                   5.6.3
zone.js                      0.15.0
```

### Anything else?

_No response_","['area: animations', 'state: has PR', 'P3', 'bug']",2024-12-04T15:25:07Z,0,3,https://github.com/angular/angular/issues/59044
6,angular/angular,Two-way binding ignores output type since angular 17.2+,"### Which @angular/* package(s) are the source of the bug?

core

### Is this a regression?

Yes

### Description

When using two-way binding (aka banana-in-a-box), the output type is ignored or treated as `any`, after some testing it seems it started happening after v17.2.0.
This error stills happening in the current version (v19.0.1) and happens either with `@Output`, `output` or `model`, also happens when you bind a `WritableSignal`.

Example:
```tsx
@Compotnent({
    selector: 'foo',
    ...
})
export class FooComponent {
    @Input() value: string | number | undefined;
    @Output() valueChange = new EventEmitter<number>();
}

@Component({
    template: `
        <foo [(value)]=""str""/> <!-- ERROR: doesn't complain with 'number' is not assignable to 'string' -->
        <foo [value]=""str"" (valueChange)=""str = $event""/> <!-- OK: complains with 'number' is not assignable to 'string' -->
    `
})
export class AppComponent {
    str: string = """";
}
```

Reproduction with ng17.0: https://stackblitz.com/edit/stackblitz-starters-krwib7?file=src%2Fmain.ts
Reproduction with ng17.2: https://stackblitz.com/edit/stackblitz-starters-tky4w1?file=src%2Fmain.ts

### Please provide a link to a minimal reproduction of the bug

https://stackblitz.com/edit/stackblitz-starters-tky4w1?file=src%2Fmain.ts

### Please provide the exception or error you saw

```true

```

### Please provide the environment you discovered this bug in (run `ng version`)

```true
Angular CLI: 17.2.3
Node: 18.20.3
Package Manager: npm 10.2.3
OS: linux x64

Angular: 17.2.4
... animations, common, compiler, compiler-cli, core, forms
... platform-browser, platform-browser-dynamic, router

Package                         Version
---------------------------------------------------------
@angular-devkit/architect       0.1702.3
@angular-devkit/build-angular   17.2.3
@angular-devkit/core            17.2.3
@angular-devkit/schematics      17.2.3
@angular/cli                    17.2.3
@schematics/angular             17.2.3
rxjs                            7.8.1
typescript                      5.2.2
zone.js                         0.14.10
```

### Anything else?

_No response_","['state: has PR', 'area: compiler', 'P3', 'compiler: template type-checking', 'bug']",2024-11-29T12:27:02Z,1,0,https://github.com/angular/angular/issues/58971
7,angular/angular,resource loader param `request` fails to exclude `undefined` from `request` returned value,"### Which @angular/* package(s) are the source of the bug?

core

### Is this a regression?

No

### Description

`request` field in `ResourceLoaderParams` should exclude `undefined` type from returned value of `request` function.

```ts
export class ProductViewer {
  productId = input.required<number | undefined>(); 
  productResource: ResourceRef<Product> = resource({
    request: () => this.productId(), // <= number | undefined
    loader: async ({ request: productId, abortSignal }) => {
      assertDefined(productId); // number;
      const resp = await fetch(`https://dummyjson.com/products/${productId}`);
      return resp.json() as Promise<Product>;
    },
  });
}
```

Source: https://github.com/angular/angular/blob/main/packages/core/src/resource/api.ts#L148-L154

```ts
export interface ResourceLoaderParams<R> {
  request: Exclude<NoInfer<R>, undefined>;
  abortSignal: AbortSignal;
  previous: {
    status: ResourceStatus;
  };
}
```

However, `undefined` is not excluded for certain types. In my experiments, the behavior is observed when the type is not a primitive like `string` or `number`, and can be reproduced by simply changing the type number to Number, for example:

```ts
export class ProductViewer {
  productId = input.required<Number | undefined>(); 
  productResource: ResourceRef<Product> = resource({
    request: () => this.productId(), // <= Number | undefined
    loader: async ({ request: productId, abortSignal }) => {
      assertDefined(productId); // !!! undefined remains !!!
      const resp = await fetch(`https://dummyjson.com/products/${productId}`);
      return resp.json() as Promise<Product>;
    },
  });
}
```

This is a typedef issue, as the `request` parameter cannot be undefined.

### Please provide a link to a minimal reproduction of the bug

https://stackblitz.com/edit/stackblitz-starters-mp9zqz?file=src%2Fmain.ts

### Please provide the exception or error you saw

```true

```

### Please provide the environment you discovered this bug in (run `ng version`)

```true
Angular CLI: 19.0.0
Node: 18.20.3
Package Manager: npm 10.2.3
OS: linux x64

Angular: 19.0.0
... animations, cli, common, compiler, compiler-cli, core, forms
... platform-browser, router
```

### Anything else?

_No response_","['area: core', 'cross-cutting: types', 'bug', 'core: reactivity']",2024-11-25T11:46:29Z,4,4,https://github.com/angular/angular/issues/58871
8,angular/angular,HttpInterceptor can trigger effect recomputation,"### Which @angular/* package(s) are the source of the bug?

common

### Is this a regression?

No

### Description

I have a service with a signal that is used inside interceptor. If we have inside `effect` HttpClient usage, effect will catch signal reads inside interceptor function.

Here is a minimal repro: https://stackblitz.com/edit/stackblitz-starters-o7huam?file=src%2Fmain.ts
I have effect without any signal reads but if in the end of effect function I will print effect producerNode, we will see that effect tracks smth, and that is signal that is read inside interceptor. And http call happens each time when signal inside interceptor changes.


IMHO, this is undocumented behavior of http client + interceptor + effect and it works only in combination. The solution for this behavior will be wrapping signal read with `untracked`.

### Please provide a link to a minimal reproduction of the bug

https://stackblitz.com/edit/stackblitz-starters-o7huam?file=src%2Fmain.ts

### Please provide the exception or error you saw

```true
When inside effect I have http call via HttpClient, effect starting to track signal that is read inside interceptors.
```

### Please provide the environment you discovered this bug in (run `ng version`)

```true
Angular CLI: 18.2.7
Node: 18.20.3
Package Manager: npm 10.2.3
OS: linux x64

Angular: 18.2.7
... animations, cli, common, compiler, compiler-cli, core, forms
... platform-browser, router

Package                         Version
---------------------------------------------------------
@angular-devkit/architect       0.1802.7
@angular-devkit/build-angular   18.2.7
@angular-devkit/core            18.2.7
@angular-devkit/schematics      18.2.7
@schematics/angular             18.2.7
rxjs                            7.8.1
typescript                      5.5.4
zone.js                         0.14.10
```

### Anything else?

_No response_","['area: core', 'area: common/http', 'bug', 'core: reactivity', 'cross-cutting: signals']",2024-11-15T10:20:11Z,6,2,https://github.com/angular/angular/issues/58682
9,angular/angular,Output migration transforms eventEmitter.emit() into invalid output.emit(),"### Which @angular/* package(s) are the source of the bug?

core

### Is this a regression?

Yes

### Description

The output migration transforms:

```ts
@Output() eventEmitter = new EventEmitter<string>();

// later
eventEmitter.emit();
```

into
```ts
eventEmitter = output<string>();

// later
eventEmitter.emit();
```

But the value is mandatory in the `output.emit` signature, so the application breaks.
The migration could generate `emit(undefined)` in that case, or add a `TODO` or only treat this in with the `--best-effort-mode` option.

To repro, in the following Stackblitz, run:

```
ng g @angular/core:signals --migrations=outputs --path=./ --no-best-effort-mode
```

### Please provide a link to a minimal reproduction of the bug

https://stackblitz.com/edit/stackblitz-starters-h5tea2?file=src%2Fmain.ts

### Please provide the exception or error you saw

```true
✘ [ERROR] TS2554: Expected 1 arguments, but got 0. [plugin angular-compiler]

    src/main.ts:18:22:
      18 │     this.eventEmitter.emit();
         ╵                       ~~~~

  An argument for 'value' was not provided.

    node_modules/@angular/core/index.d.ts:8288:9:
      8288 │     emit(value: T): void;
```

### Please provide the environment you discovered this bug in (run `ng version`)

```true
Angular CLI: 19.0.0-rc.1
Node: 18.20.3
Package Manager: npm 10.2.3
OS: linux x64

Angular: 19.0.0-rc.1
... animations, cli, common, compiler, compiler-cli, core, forms
... platform-browser, router

Package                         Version
---------------------------------------------------------
@angular-devkit/architect       0.1900.0-rc.1
@angular-devkit/build-angular   19.0.0-rc.1
@angular-devkit/core            19.0.0-rc.1
@angular-devkit/schematics      19.0.0-rc.1
@schematics/angular             19.0.0-rc.1
rxjs                            7.8.1
typescript                      5.5.4
zone.js                         0.14.10
```

### Anything else?

_No response_","['area: migrations', 'bug']",2024-11-14T09:40:25Z,3,0,https://github.com/angular/angular/issues/58650
10,angular/angular,"@angular/elements uses (internal) property name for custom element properties, but template name for attributes","## Angular edit

Angular elements defines (`Object.defineProperty`) a property for each input of an element's component, as well as an HTML attribute which feeds into each property. Each input is thus represented by a property/attribute pair, as in the real DOM.

However, the way we name these things differs. `createCustomElement` uses the template name of the input for the attribute API, but the property name of the input for the DOM/property API. This was likely done intentionally as it makes _some_ sense - property name for properties - but it doesn't consider that the property name is meant to be an implementation detail of a component and shouldn't end up on its public API.

Fixing this would be a breaking change.

## Original Issue

When declaring an input with alias inside of a component and use `createCustomElement` of that component.
ex.

```
readonly name = input<string>(
    'name',
    { alias: 'customName' },
  );
```

On the actual web-component there are no such attribute as `customName`, only `name` will exist and work.


Looks  like that `ComponentFactory`  at method `resolveComponentFactory` which returns `inputs` array with `propName` of each input is not actually aliased name.

https://github.com/angular/angular/blob/main/packages/elements/src/component-factory-strategy.ts#L46","['area: elements', 'P3', 'bug', 'cross-cutting: signals']",2024-10-22T14:54:19Z,5,3,https://github.com/angular/angular/issues/58302
