issue_number,repository,title,description,labels,created_at,comments,reactions,url
1,nomic-ai/gpt4all,Bad UI design for 'clone and remove' button in the settings,"I would expect the ""remove"" button in the model settings page to work for custom OpenAI models, but it seems to only work for clones.","['bug', 'chat', 'chat-ui-ux']",2024-12-09T22:36:39Z,1,0,https://github.com/nomic-ai/gpt4all/issues/3243
2,nomic-ai/gpt4all,Models inside of subfolders can be seen in the models view but not removed,"GPT4All searches subfolders of the data directory for models. However, it also assumes that all models are in the root of the data in many parts of the code, by using the data dir itself instead of the `dirpath` field of ModelInfo. This causes actions such as the ""Remove"" button to not work.

Fix buried somewhere in #3034, but that is on hold due to other priorities.",['bug'],2024-10-09T22:41:47Z,0,0,https://github.com/nomic-ai/gpt4all/issues/3069
3,nomic-ai/gpt4all,"""New Chat"" does not change after switching locale","Strings such as ""Application default"" are updated without issue, but ""New Chat"" does not switch to the English translation after switching locale (in this case, from Romanian to English).

![gpt4all-newchat-tr](https://github.com/user-attachments/assets/95561f23-fc41-45db-b085-765a590ad3a3)","['bug', 'chat', 'chat-ui-ux', 'translations']",2024-08-19T16:17:31Z,2,0,https://github.com/nomic-ai/gpt4all/issues/2892
4,nomic-ai/gpt4all,Vulkan: Meta-Llama-3.1-8b-128k slow generation.,"<!-- Before creating a new issue, please make sure to take a few moments to check the issue tracker for existing issues about the bug. -->
>[!NOTE]
>Until this is fixed the workaround is use the CPU or CUDA instead.
### Bug Report
Vulkan: Meta-Llama-3.1-8b-128k slow generation.
<!-- A clear and concise description of what the bug is. -->
When using release 3.1.1 and Vulkan the Meta-Llama-3.1-8b-128k is extremely slow. (1.5t/s)
This is not a problem on CPU.
### Steps to Reproduce

<!-- List the steps that should be taken to experience this issue. Provide any relevant information about your configuration, and describe anything that was unexpected. -->

1. Using GPT4All 3.1.1 with Vulkan
2. Chat with Meta-Llama-3.1-8b-128k
3. Speed Is immediately slow (1.5t/s)

### Expected Behavior


<!-- In a few words, what did you expect to happen? -->
Using the model with llama.cpp directly reports over 60t/s
Using the model with GPT4All before 3.1.1 I could get about 30t/s.
### Your Environment

- GPT4All version: 3.1.1 (release or web_beta)
- Operating System: Windows
- Chat model used (if applicable): Vulkan & Meta-Llama-3.1-8b-128k

<!-- You can freely edit this text, please remove all the lines you believe are unnecessary. -->
","['bug', 'chat', 'vulkan']",2024-07-29T16:43:21Z,13,2,https://github.com/nomic-ai/gpt4all/issues/2768
5,nomic-ai/gpt4all,[Crash] Assertion `isModelLoaded()` fails in ChatLLM::generateName when switching chats while model is generating,"Steps to reproduce:
- Start generating
- Switch off of the chat
- Switch back onto the chat (or onto a third chat)
- Assertion failure in debug build, here:

https://github.com/nomic-ai/gpt4all/blob/fd005be844d91f821eb4ecd69c40f08afba7ae28/gpt4all-chat/chatllm.cpp#L872-L876","['bug', 'chat', 'crash']",2024-07-09T21:15:53Z,0,0,https://github.com/nomic-ai/gpt4all/issues/2626
6,nomic-ai/gpt4all,Collections with overlapping folder paths cause false negatives in LocalDocs lookup,"We can miss entire documents when indexing a LocalDocs collection, because the documents are already in the database, and document paths are expected to be unique (we assume that we have already processed the document).

This can cause problems in practice, when a document is shared between two `folder_id`s, e.g. because the user has added the parent directory of one collection as another collection in the UI. In that case, the parent will be missing all of the child's documents if the child was indexed first.

Should we even allow the user to add overlapping folders?","['bug', 'chat', 'local-docs', 'chat-ui-ux']",2024-07-08T22:50:54Z,0,0,https://github.com/nomic-ai/gpt4all/issues/2608
7,nomic-ai/gpt4all,Chats loaded from text (the default) do not preserve LocalDocs context and prompt template,"- LocalDocs context is not restored when the chat is loaded&mdash;ChatLLM::promptInternal directly inserts database results into the context, but ChatLLM::processRestoreStateFromText bypasses this (and we don't want fresh results anyway, we want the old ones).
- The system prompt and prompt template are applied to past messages when the chat is *loaded*, which is something you can otherwise never observe (AFAIK) without first closing GPT4All.

Neither of these things should happen with the ""Save Chat Context"" option turned on, which used to be the default. So this can be seen as a regression.","['bug', 'chat']",2024-07-08T21:44:49Z,0,0,https://github.com/nomic-ai/gpt4all/issues/2603
8,nomic-ai/gpt4all,GPT4All can be opened more than once - but this isn't supported,"GPT4All was never designed to be opened more than once&mdash;this creates multiple instances of the application, which isn't supported, and could result in corruption of the LocalDocs database, or the settings file. The local server will only work on one instance because both will try to use the same port number.

Related: #2309","['bug', 'chat']",2024-07-08T15:30:34Z,0,0,https://github.com/nomic-ai/gpt4all/issues/2590
9,nomic-ai/gpt4all,GPT4All can restore its window geometry to somewhere off-screen,"### Bug Report

gpt4all appears to be running in the task manager, but I can't see any Windows. My computer is an amdR7800hCPU laptop.

### Steps to Reproduce

1.Double click run

### Expected Behavior
The program should appear in a window

![PixPin_2024-07-05_16-34-27](https://github.com/nomic-ai/gpt4all/assets/68932312/3c4e0831-37ef-4716-a9f9-ca9e9cbbc564)

### Your Environment

- GPT4All version:3.0.0
- Operating System:Windows 10 Home Chinese Version


","['bug', 'chat']",2024-07-05T08:40:59Z,16,1,https://github.com/nomic-ai/gpt4all/issues/2564
10,nomic-ai/gpt4all,How to solve localdocs database error,"![image](https://github.com/nomic-ai/gpt4all/assets/117589240/c6e67bf9-0040-42c2-8cbc-2777fbd77db7)
","['bug', 'chat']",2024-07-02T16:35:07Z,23,0,https://github.com/nomic-ai/gpt4all/issues/2516
11,nomic-ai/gpt4all,"UI: If you have too many installed models, the list gets cut off and can't be scrolled","

![Image](https://github.com/nomic-ai/gpt4all/assets/14168726/a74df79a-2164-422c-98c5-e8233f07ef8b)

","['bug', 'chat', 'chat-ui-ux']",2024-05-10T21:23:40Z,0,0,https://github.com/nomic-ai/gpt4all/issues/2338
12,nomic-ai/gpt4all,Generation speed indication is scientific notation for speeds >= 100 tokens/s,"### Bug Report
The speed indication for any model is in scientific notation for speeds >= 100 t/sec

<img width=""1559"" alt=""Screenshot 2024-04-30 at 10 01 48"" src=""https://github.com/nomic-ai/gpt4all/assets/42358482/afdd214c-7d48-4788-9893-09ed31cebcb9"">


### Steps to Reproduce
1. Works with any model that is fast enough
2. Speed shows up in bottom right part of the screen.

### Expected Behavior
* Speed should be shown in `%.2f` formatting

### Your Environment
- GPT4All version: 2.7.4
- Operating System: OSX 13.6.3
- Chat model used (if applicable):

","['bug', 'chat', 'chat-ui-ux']",2024-04-30T08:11:29Z,0,0,https://github.com/nomic-ai/gpt4all/issues/2287
13,nomic-ai/gpt4all,local server crashes when a model is already loaded on the GPU,"Your Environment
- GPT4All version: 2.7.3
- Operating System: Windows 11
- Chat model used (if applicable): Nous Hermes 2 Mistral DPO
I have open the port and allow the chat.exe in the windows firewall. I got the 'Error: connect ECONNREFUSED 127.0.0.1:4891' in the same machine. 
Any suggestion? thanks.
![Capturesss](https://github.com/nomic-ai/gpt4all/assets/68432267/6a880114-3391-40ef-afd9-936b203f3bb2)
![Capturesss2](https://github.com/nomic-ai/gpt4all/assets/68432267/afde6884-d500-4bfa-9a1b-a30af7f5b37c)

","['bug', 'chat', 'vulkan', 'local-server']",2024-04-08T20:41:52Z,21,0,https://github.com/nomic-ai/gpt4all/issues/2205
14,nomic-ai/gpt4all,CPU t/s regression from GPT4All 2.6.1 -> 2.6.2,"On my old 4-core computer, I got roughly 2.1 t/s with openorca-chat model. When I upgraded to a 6-core PC, the speed doubled. Other models got the same speed increase. Then two things happened at the same time, I had to use a crappy video card temporarily until I got a new one to replace my broken one, and I upgraded to the latest gpt4all.

My speed dropped to 1.2 t/s for openorca and below 1 for other models. I assumed it was my crappy GPU but I just got my new one that's benchmarked as 3 times faster than my old one and I'm still getting the same slow speed. I downgraded to gpt4all 2.6.1 and my speed is back to 4 t/s for openorca, so it seems the problem was the latest version. Why is this?","['bug', 'backend', 'chat']",2024-04-08T16:13:09Z,11,0,https://github.com/nomic-ai/gpt4all/issues/2204
