issue_number,repository,title,description,labels,created_at,comments,reactions,url,
1,facebook/react,[Compiler Bug]: InvalidReact: Ref values (the `current` property) may not be accessed during render. False Positive,"### What kind of issue is this?

- [ ] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [ ] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [x] eslint-plugin-react-compiler (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://playground.react.dev/#N4Igzg9grgTgxgUxALhAHQHYIB4AcIwAuABACYIBmAhlADYkVQZyECWEGxAsgJ4CCuXAAoAlMWCZixOBzAlSrAG4AlSsQC8xKGASqKQjHVoiA3JOmySAWx4AJKhlK0EMDcQQaAfOPNSqzoiEFFUoAOjhYGAQMQlDWDCwYABUcQlNzAF9zGQw5Ygc4AAsCAAUYCFwwN2AMs0585mKYMoqwUI4AYVpWOABrN1EvYht7RwDROsxzKMJYTiFfYgAeT0WpJeDiKIp1YGC9DM9bBFpaCGIAdQJaUiWAemDV+ql1qnFQj4KmlsrDi8KqPIIAgqoRCh5NmAqDwAPz3KhPF7LO6I4jpDBZDAgDJAA

### Repro steps

1) Create a ref with `useRef()`
2) Create an event handler that accesses `ref.current`
3) Create an arbitrary object
4) Assign an arbitrary property to that object and set it equal to a function that calls the handler from step 2.
5) Witness the `InvalidReact: Ref values (the `current` property) may not be accessed during render.` error

Ex (also in playground link):

```js
export default function MyApp() {
  const divRef = useRef(null);
  const myHandler = e => {
    alert(divRef.current.innerText);
  }
  const anchorProps = {};
  anchorProps.onClick = () => myHandler();


  return (
    <>
      <div ref={divRef}>Hello World</div>
      <a {...anchorProps}>What does the div say?</a>
    </>
  );
}
```

### How often does this bug happen?

Every time

### What version of React are you using?

18.3.1

### What version of React Compiler are you using?

19.0.0-beta-27714ef-20250124","['Type: Bug', 'Status: Unconfirmed', 'Component: Optimizing Compiler']",2025-02-06T21:05:56Z,2,3,https://github.com/facebook/react/issues/32320,Logical Bug
2,facebook/react,[Compiler Bug]: Upgrading from `e552027-20250112` to `27714ef-20250124` no longer optimizes,"### What kind of issue is this?

- [x] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [ ] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [ ] eslint-plugin-react-compiler (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://playground.react.dev/#N4Igzg9grgTgxgUxALhHCA7MAXABAYQgFsAHZXAJQQEM5sA6AMX1wF5cAKASjYD5dgAHQy5c6LHgDaYBABsEdBABMAqjJhgANLhnYAynIXZlahBoC6bXFBl7s1YwB4YNJZlkBPXKZgB5GACCJACWPpLmvBzhXADcwsKi4jjW6gCSSmBWMvKKqupg9ETUJBwcNmY8rPzlMPTBSrHxImKYyXjs3HwCuAmiLRK41DAwVuFxGL2iAGYQIxxJeNlGJuq4EFMpZulgPELNfYPD9CQ2ABYcS7k+jfu4AL6TuC7YsBPND2+iz6+4GFCysnGd3GIDuQA

### Repro steps

No reproduction steps required - the playground shows the error.

https://github.com/facebook/react/pull/32093/files#diff-20b95f808e27819de316464ff5819940614b11b694deb9f1c4fecf39dff6b6e4R1607

As a workaround I've just extracted the function (in our real app it's a `queryFn` to `react-query`) outside of the component and pass it the arguments instead, so we no longer loop inside the component itself.

---

For future reference (for when this is fixed and the playground no longer shows an error), this is the current result:

<img width=""670"" alt=""Image"" src=""https://github.com/user-attachments/assets/c9d632bb-f4b0-4ee4-8026-eb086cdbc3ea"" />

### How often does this bug happen?

Every time

### What version of React are you using?

N/A

### What version of React Compiler are you using?

`27714ef-20250124`","['Type: Bug', 'Status: Unconfirmed', 'Component: Optimizing Compiler']",2025-01-30T08:10:31Z,0,0,https://github.com/facebook/react/issues/32269,Logical Bug
3,facebook/react,"[Compiler Bug]: ""Ref values (the `current` property) may not be accessed during render"" but there is no value access","### What kind of issue is this?

- [ ] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [ ] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [x] eslint-plugin-react-compiler (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://playground.react.dev/#N4Igzg9grgTgxgUxALhASwLYAcIwC4AEwBASggIZx4ByEAJggDSkIBmA8gEYBWCVzUMAgCyCDBAFCyrAgF8CrGBAwEAOiBgUq6gNyqAdgYD0RggBU0eADYIAamgYRkBTfoYwwBcgQBuDhBAEAO6WABZeBHiWNgYGeACeWAjm0Xb+EAAKSlieALxEBgQubAD8ztJcvFQAPAASZsIAMvaOAKI2GAj6hAA+BPpQVlYAfHr6RVHWCM5geDBo+gDmY0Vg8DNzC8sGsmMGrFD6VGgQ4xZTLQEAFMSarMyTNsxrcHLO5zaXmdlgAJQF42KeFg4yuhSKBGqdDQPmG4IhkNCAEZhsBHghZNUjMi4YCEcAjAAqAgIMBWBZ4AC00LA5E4Nkp+gQAA8qeSmQRuGBmZTyEikfEjJ1oeRKaFyGBKXByFgoqcCISjLJ4RDqn5HMVWLlgHd5C9tS95EZcQisdDYeDfmNlYZ9CYCMIoHgEABhU5zCBWMDOch0OiebycJ14eUhggYJ3JPChZLqgLFNwITR0AiceIJ9xfWLdRLJR3Ot3dJRerIQHIEfLAcGuTPpZxXO7lNiVPh4OoNZrpdpiLq9fqDEb-XLDFiUGj0BDWvb6A5HOXjfOu93FsA3DNJr5vB2Rwseks-f5VwFwU6zXzpaQVgiCBDSdtNL7dzrdYZXAZDK3ZoqaYEwUEqqEYRNBEiBrDd0iuOMIGkX4bRAyEgzwENbXgopThdck4AAa21K4hxHI9UIhNAZEgi82AAOjgWBXDwf4oOkKiaN7CifE9KBOivAAGFZUNkOCQOA+CI2dFUiixRDkKEyEjHNYDP30G1jFML5GjQWZnDAjwInJM8IBkKDPBCaNw0jVNg1PbMEiSAhVPUvBS3LStwUMgARcg8HIZxiBeDZ5iWHRIlSPytjkABtABdKds1nY55Ts2Ybhc9IwHczyrzCnz1jUEB1AeYKcs3JF1DkCLGB2ZwEocg8ASKE99DPLSADFDjgb0WBPGA6GqWZ-MWZhF13FdHLAML1C0rMQAikd8hvURxDBPECDwitpKKFsqAoxRlFaIs0FJRaiLcjzyAojAZSuK46BO-CCDGpb4OuzyKPRcqHpAhs2Fu6oPjSDU7m1XUiAokGnvII1hjeoiIt+KGQNhlUwuOzyystadvwQX9-yWwCLXe4ANrwCje3mA7mtav4zouq4wte9cYBh1blrE1VBuXT1PCwhB4m1dF5Am9JAa6dwIZZ35YIA2SgLRnZsxZHB8AIBhWHIQZCCqsYQFkIA

### Repro steps

1. Create a component A
2. Add a prop P to component A. This prop must be a render function that receives a `RefObject` and returns a `ReactNode`
3. Use the `useRef` hook in component A and initialize it with null
4. Invoke the render function passed in prop P with the ref from the previous step

**Notes:**
- I'm not absolutely certain if this is an error on the compiler plugin or if I am not fully understanding what the error is supposed to be. If it is an error on my end, then I would say this error message needs to be improved.
- The repro link has a complete example of a scenario where this error could arise. The bug itself is only triggered in the `MuteControls` component.
- The only ref value access in the repro link (`videoRef.current`) is in the `onClick` function of the button in `MuteControls`. Commenting this **does not make the error disappear**, so the error is triggered without any value access
- Using `useMemo` to memoize the `renderVideo` call does not make the error dissapear neither

### How often does this bug happen?

Every time

### What version of React are you using?

18.3.1

### What version of React Compiler are you using?

eslint-plugin-react-compiler@19.0.0-beta-27714ef-20250124","['Type: Bug', 'Status: Unconfirmed', 'Component: Optimizing Compiler']",2025-01-29T13:49:56Z,2,0,https://github.com/facebook/react/issues/32261,Logical Bug
4,facebook/react,[Compiler Bug]: Hydration failed because the server rendered HTML didn't match the client. As a result this tree will be regenerated on the client. This can happen if a SSR-ed Client Component used,"### What kind of issue is this?

- [x] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [x] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [ ] eslint-plugin-react-compiler (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://github.com/egorBezmen/next15-styled-components

### Repro steps

1) npm install
2) npm run dev
3) open [localhost](http://localhost:3000) 

<img width=""1512"" alt=""Image"" src=""https://github.com/user-attachments/assets/53f68d57-6c50-4cf7-baf5-5aaf7ac4a7a6"" />

https://github.com/vercel/next.js/tree/canary/examples/with-styled-components
I deployed the template project and enabled the option react-compiler
codesandbox - https://codesandbox.io/p/github/egorBezmen/next15-styled-components/main?import=true

### How often does this bug happen?

Every time

### What version of React are you using?

18.3.1 / 19.0.0

### What version of React Compiler are you using?

19.0.0-beta-27714ef-20250124","['Type: Bug', 'Status: Unconfirmed', 'Component: Optimizing Compiler']",2025-01-27T12:16:47Z,4,0,https://github.com/facebook/react/issues/32235,Logical Bug
5,facebook/react,"[DevTools Bug]:  [DevTools Bug] Cannot reorder children for node ""0"" because no matching node was found in the Store.","### Website or app

https://www.autotrack.nl/aanbod

### Repro steps

1. Start profiling in chrome
2. Click on any filter
3. Uncaught Error: Cannot reorder children for node ""0"" because no matching node was found in the Store.
Dismiss
The error was thrown at chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:1:1175534
    at v.emit (chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:1:1140783)
    at chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:1:1142390
    at bridgeListener (chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:1:1552529)

### How often does this bug happen?

Every time

### DevTools package (automated)

react-devtools-extensions

### DevTools version (automated)

6.0.1-c7c68ef842

### Error message (automated)

Cannot reorder children for node ""0"" because no matching node was found in the Store.

### Error call stack (automated)

```text
at chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:1:1175534
    at v.emit (chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:1:1140783)
    at chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:1:1142390
    at bridgeListener (chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:1:1552529)
```

### Error component stack (automated)

```text

```

### GitHub query string (automated)

```text
https://api.github.com/search/issues?q=Cannot reorder children for node  because no matching node was found in the Store. in:title is:issue is:open is:public label:""Component: Developer Tools"" repo:facebook/react
```","['Type: Bug', 'Status: Unconfirmed', 'Component: Developer Tools']",2025-01-23T11:25:04Z,2,1,https://github.com/facebook/react/issues/32196,Syntax Error
6,facebook/react,[DevTools Bug]: react-devtools not start up,"### Website or app

sorrry I don't know how to reproduce this.

### Repro steps

npm install -g react-devtools

react-devtools

react-devtools not start up on ubuntu24 ,  nothing happen , no error message at all




### How often does this bug happen?

Every time

### DevTools package (automated)

_No response_

### DevTools version (automated)

_No response_

### Error message (automated)

_No response_

### Error call stack (automated)

```text

```

### Error component stack (automated)

```text

```

### GitHub query string (automated)

```text

```","['Type: Bug', 'Status: Unconfirmed', 'Component: Developer Tools']",2025-01-23T01:40:01Z,2,0,https://github.com/facebook/react/issues/32165,Syntax Error
7,facebook/react,"[DevTools Bug] Cannot add child ""301"" to parent ""155"" because parent node was not found in the Store.","### Website or app

www.github.com

### Repro steps

The error was thrown at chrome-extension://gpphkfbcpidddadnkolkpfckpihlkkil/build/main.js:1:1173126
    at v.emit (chrome-extension://gpphkfbcpidddadnkolkpfckpihlkkil/build/main.js:1:1140783)
    at chrome-extension://gpphkfbcpidddadnkolkpfckpihlkkil/build/main.js:1:1142390
    at bridgeListener (chrome-extension://gpphkfbcpidddadnkolkpfckpihlkkil/build/main.js:1:1552662)

### How often does this bug happen?

Every time

### DevTools package (automated)

react-devtools-extensions

### DevTools version (automated)

6.0.1-c7c68ef842

### Error message (automated)

Cannot add child ""301"" to parent ""155"" because parent node was not found in the Store.

### Error call stack (automated)

```text
at chrome-extension://gpphkfbcpidddadnkolkpfckpihlkkil/build/main.js:1:1173126
    at v.emit (chrome-extension://gpphkfbcpidddadnkolkpfckpihlkkil/build/main.js:1:1140783)
    at chrome-extension://gpphkfbcpidddadnkolkpfckpihlkkil/build/main.js:1:1142390
    at bridgeListener (chrome-extension://gpphkfbcpidddadnkolkpfckpihlkkil/build/main.js:1:1552662)
```

### Error component stack (automated)

```text

```

### GitHub query string (automated)

```text
https://api.github.com/search/issues?q=Cannot add child  to parent  because parent node was not found in the Store. in:title is:issue is:open is:public label:""Component: Developer Tools"" repo:facebook/react
```","['Type: Bug', 'Status: Unconfirmed', 'Component: Developer Tools']",2025-01-18T03:21:16Z,7,0,https://github.com/facebook/react/issues/32118,Syntax Error
8,facebook/react,"[Compiler Bug]: eslint plugin erroneously flags third-party functions starting with ""use"" as hooks","### What kind of issue is this?

- [ ] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [ ] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [x] eslint-plugin-react-compiler (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://playground.react.dev/#N4Igzg9grgTgxgUxALhASwLYAcIwC4AEwBUYCAMgIYCe0eAogGaMJyEC+BjMEGBA5DASU2-ANwAdAHaYc+AgCoClMMowBhABaV8q7rwEABShjjbdAehNmdeMABYLcXAnHTpCAB5zCAEwSMlFAANoSMUFJsaBBSBACy1ACCWFgAFACURNIEJGRUtFAMzKx4qRkEALwAfFmxOWpatmAAdKQIACqaCBgIqVIhwemSdewANAQA2gC66e51QniwsanZ9QA8vmgAbgQWVauzUuzSIOxAA

### Repro steps

In the simplified playground example above, I'm using `amCharts.useTheme` which is not a hook at all, just a random function of an external library that happen to start with **use**.

### How often does this bug happen?

Every time

### What version of React are you using?

react@19.0.0

### What version of React Compiler are you using?

babel-plugin-react-compiler@19.0.0-beta-e552027-20250112","['Type: Bug', 'Status: Unconfirmed', 'Component: Optimizing Compiler']",2025-01-17T14:32:20Z,2,0,https://github.com/facebook/react/issues/32109,Performance Issue
9,facebook/react,[DevTools Bug]: incorrect error on react-hooks/exhaustive-deps,"### Website or app

http://localhost:3008/

### Repro steps

```
React Hook useMemo has unnecessary dependencies: 'store1.list' and 'store2.list'. Either exclude them or remove the dependency array. Outer scope values like 'domains.content' aren't valid dependencies because mutating them doesn't re-render the component  react-hooks/exhaustive-deps
```


For an unknown reason, it appears in the following code.
```
const list = useMemo(() => _.map(store1.list, item => ({
    ...item,
    warnings: _.map(
      _.filter(store2.list, { name: item.name }),
      ({ info }) => ({ label: `Important ${info}` })
    )
  })), [store1.list, store2.list])
```

And I am sure there is a bug because it doesn't appear in the following code:

```
const list1 = store1.list
  const list2 = store2.list
  const list = useMemo(() => _.map(list1, item => ({
    ...item,
    warnings: _.map(
      _.filter(list2, { name: item.name }),
      ({ info }) => ({ label: `Important ${info}` })
    )
  })), [list1, list2])
```


### How often does this bug happen?

Every time

### DevTools package (automated)

_No response_

### DevTools version (automated)

_No response_

### Error message (automated)

_No response_

### Error call stack (automated)

```text

```

### Error component stack (automated)

```text

```

### GitHub query string (automated)

```text

```","['Type: Bug', 'Status: Unconfirmed']",2025-01-16T15:29:24Z,0,0,https://github.com/facebook/react/issues/32089,Logical Bug
10,facebook/react,"[DevTools Bug] Cannot remove node ""92"" because no matching node was found in the Store.","### Website or app

http://localhost:3000/

### Repro steps

I was trying to inspect my component tree via react dev tools, but each time I make an interaction on the website which changes the state, it throws an error 

### How often does this bug happen?

Every time

### DevTools package (automated)

react-devtools-extensions

### DevTools version (automated)

6.0.1-c7c68ef842

### Error message (automated)

Cannot remove node ""92"" because no matching node was found in the Store.

### Error call stack (automated)

```text
at chrome-extension://gpphkfbcpidddadnkolkpfckpihlkkil/build/main.js:1:1173889
    at v.emit (chrome-extension://gpphkfbcpidddadnkolkpfckpihlkkil/build/main.js:1:1140783)
    at chrome-extension://gpphkfbcpidddadnkolkpfckpihlkkil/build/main.js:1:1142390
    at bridgeListener (chrome-extension://gpphkfbcpidddadnkolkpfckpihlkkil/build/main.js:1:1552662)
```


### Error component stack (automated)

_No response_

### GitHub query string (automated)

```text
https://api.github.com/search/issues?q=Cannot remove node  because no matching node was found in the Store. in:title is:issue is:open is:public label:""Component: Developer Tools"" repo:facebook/react
```
","['Type: Bug', 'Status: Unconfirmed', 'Component: Developer Tools']",2025-01-01T16:10:15Z,4,3,https://github.com/facebook/react/issues/31950,Syntax Error
