issue_number,repository,title,description,labels,created_at,comments,reactions,url,
1,microsoft/vscode,"sometimes rerun task action causes error, quick pick to show up","Reported by @Tyriar 

Use the rerun task action, see error and the quick pick briefly show up

![Image](https://github.com/user-attachments/assets/d8b98539-5273-47da-93b7-b72c2fed3d6b)","['bug', 'tasks']",2025-02-18T17:20:18Z,0,0,https://github.com/microsoft/vscode/issues/241107,UI/UX Bug
2,microsoft/vscode,Terminal suggest: Folders not being shown when files are requested,"Repro:

1. mac with vim installed
1. Terminal suggest on
2. Open terminal
3. Type `vim ./`, ?? you should see all folders as well as files

![Image](https://github.com/user-attachments/assets/57cd7eeb-087c-43f1-9923-6065908b2c0e)","['bug', 'terminal-suggest']",2025-02-18T14:20:32Z,0,0,https://github.com/microsoft/vscode/issues/241090,Dependency Issue
3,microsoft/vscode,Popups everywhere. They're made to apper too fast and not go away,"
Type: <b>Bug</b>

Hover over code; every popup shows too fast and stays there; usually have to click it and press escape. 

VS Code version: Code 1.97.2 (Universal) (e54c774e0add60467559eb0d1e229c6452cf8447, 2025-02-12T23:20:35.343Z)
OS version: Darwin arm64 24.3.0
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|Apple M1 Pro (8 x 2400)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|3, 3, 3|
|Memory (System)|16.00GB (0.14GB free)|
|Process Argv|--crash-reporter-id d071a262-77e0-4555-a02f-a2298811729d|
|Screen Reader|no|
|VM|0%|
</details><details><summary>Extensions (29)</summary>

Extension|Author (truncated)|Version
---|---|---
astro-vscode|ast|2.15.4
simple-react-snippets|bur|1.2.8
vscode-eslint|dba|3.0.10
gitlens|eam|16.3.0
prettier-vscode|esb|11.0.0
code-runner|for|0.12.2
kotlin|fwc|0.2.36
copilot|Git|1.271.0
copilot-chat|Git|0.24.1
vscode-github-actions|git|0.27.1
vscode-pull-request-github|Git|0.104.1
Kotlin|mat|1.7.1
rainbow-csv|mec|3.17.0
git-graph|mhu|1.30.0
vscode-docker|ms-|1.29.4
playwright|ms-|1.1.13
makefile-tools|ms-|0.11.13
gradle-language|nac|0.2.3
open-html-in-browser|pea|2.1.10
java|red|1.39.0
inline-parameters-extended|Rob|1.3.3
testcafe-test-runner|rom|2.1.1
vs-code-prettier-eslint|rve|6.0.0
kotlin-on-vscode|set|0.0.1
sonarlint-vscode|Son|4.15.0
code-spell-checker|str|4.0.34
vscode-styled-components|sty|1.7.8
vscode-pets|ton|1.30.0
vscode-gradle|vsc|3.16.4


</details><details>
<summary>A/B Experiments</summary>

```
vsliv368cf:30146710
vspor879:30202332
vspor708:30202333
vspor363:30204092
vscod805:30301674
binariesv615:30325510
py29gd2263:31024239
c4g48928:30535728
azure-dev_surveyone:30548225
962ge761:30959799
h48ei257:31000450
pythontbext0:30879054
cppperfnew:31000557
dwnewjupytercf:31046870
nativerepl1:31139838
pythonrstrctxt:31112756
nativeloc1:31192215
iacca1:31171482
5fd0e150:31155592
dwcopilot:31170013
stablechunks:31184530
6074i472:31201624
dwoutputscf:31238124
hdaa2157:31222309
copilot_t_ci:31222730
jda6j935:31233686

```

</details>

<!-- generated by issue reporter -->","['bug', 'editor-hover']",2025-02-17T14:44:30Z,1,0,https://github.com/microsoft/vscode/issues/241015,Runtime Error
4,microsoft/vscode,Markdown support: issue with dragging folder into editor to create a link on Linux edition of VSCode,"<!-- ???? Do Not Delete This! bug_report_template ???? -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- ?? Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- ?? Search existing issues to avoid creating duplicates. -->
<!-- ?? Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- ?? Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- ?? Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes

<!-- ?? If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- ?? Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code Version: 1.97.2 (latest)
- OS Version: Ubuntu/Windows 10

Steps to Reproduce:

1. Open an `.md` file
2. Drag a folder from the left hand File Explorer and drop it into the editor while holding the SHIFT key down
3. Using the Microsoft Windows version of VSCode this action will result in the creation of a markdown style relative link in the editor **as expected**, e.g.:

```
[text](../../../folder_name)
```

4. Using the `.deb` file installed release of VSCode on Ubuntu Desktop or Linux Mint desktop, the same action results in the absolute path to the folder being pasted into the editor, e.g.:

```
/home/my_user/Documents/gitlab/doc/content/en/some/path/folder_name
```

I feel that the behaviour in the Linux distros is **incorrect and is a bug** and a markdown style link should be created instead.

I do not have any extensions installed in VSCode and all settings are in their default state (I have not changed any).

Note that I can drag an `.md` file or an image type file (`.png`, `.jpg` etc.) from a folder in the left hand explorer and drop it into the editor and on both Linux and Windows a markdown link will be created **as expected** with the relative path to the file - so I know the drag and drop facility is working as designed.
","['bug', 'help wanted', 'linux']",2025-02-17T13:20:48Z,1,0,https://github.com/microsoft/vscode/issues/241007,Logical Bug
5,microsoft/vscode,Git - False line-blame info,"Not sure how to reproduce but I navigates some source and eventually returned to `inlineChatActions`. It's last line shows git blame from `vscode.d.ts`

* `src/vscode-dts/vscode.d.ts#L4885`, and 
* `src/vs/workbench/contrib/inlineChat/browser/inlineChatActions.ts`

<img width=""856"" alt=""Screenshot 2025-02-17 at 08 57 12"" src=""https://github.com/user-attachments/assets/a8d9a493-877c-4077-876c-eae79b1f6959"" />
","['bug', 'git']",2025-02-17T08:00:00Z,1,0,https://github.com/microsoft/vscode/issues/240979,Dependency Issue
6,microsoft/vscode,Mutli Diff Editor shows large empty space between files,"
Type: <b>Bug</b>

Does this issue occur when all extensions are disabled?: Yes

Steps to reproduce:

1. Click on a commit that changes multiple files in the Source Control Graph
2. Expand the files in the Multi Diff Editor. There's a large empty space at the end of a file as seen in the screenshot below marked in red.

The large space sometimes makes it hard to see the amount of files within the diff view, as the next file is at the very bottom of the screen.

*Note:* Setting `""diffEditor.hideUnchangedRegions.enabled"": false` doesn't disable the hidden lines in the Multi Diff Editor.

![Image](https://github.com/user-attachments/assets/5a293392-8066-44bf-82d7-0c704420ab6e)

VS Code version: Code 1.97.2 (e54c774e0add60467559eb0d1e229c6452cf8447, 2025-02-12T23:20:35.343Z)
OS version: Windows_NT x64 10.0.19045
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|AMD Ryzen 5 5600X 6-Core Processor              (12 x 3700)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|31.93GB (20.35GB free)|
|Process Argv|. --disable-extensions|
|Screen Reader|no|
|VM|0%|
</details>Extensions disabled
<!-- generated by issue reporter -->","['bug', 'multi-diff-editor']",2025-02-16T18:57:27Z,0,0,https://github.com/microsoft/vscode/issues/240952,Performance Issue
7,microsoft/vscode,1.97.2 `Source Control Repositories` is missing Gitlens (git log) icon,"<!-- ???? Do Not Delete This! bug_report_template ???? -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- ?? Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- ?? Search existing issues to avoid creating duplicates. -->
<!-- ?? Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- ?? Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- ?? Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes
<!-- ?? If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- ?? Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code Version: 1.97.2
- OS Version: Ubuntu/Windows/Web

Steps to Reproduce:

1. Install GitLens
2. Go to `Source Control Repositories`
3. Git log icons of various extensions (GitLens, GitLG, Git Graph) are now missing, see red box
4. Last known working version is 1.96.4
5. First known broken version is 1.97.1

### Expected
![Image](https://github.com/user-attachments/assets/5bbd38bc-73a3-48ab-8440-729e0cfe9dd5)

### Actual
![Image](https://github.com/user-attachments/assets/ae8c8650-a34b-466f-bc01-605c348ccdba)

","['bug', 'scm']",2025-02-16T14:23:34Z,17,0,https://github.com/microsoft/vscode/issues/240944,UI/UX Bug
8,microsoft/vscode,Git - `git.diff.stageHunk` command doesn't work,"<!-- ???? Do Not Delete This! bug_report_template ???? -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- ?? Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- ?? Search existing issues to avoid creating duplicates. -->
<!-- ?? Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- ?? Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- ?? Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes

<!-- ?? If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- ?? Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code Version: Version: 1.97.2
- OS Version: Windows_NT x64 10.0.26100

Steps to Reproduce:

1. Add a keybinding for `git.diff.stageHunk`.
2. Open a project with unstaged changes.
3. Click on ""Open changes"".
4. Place the cursor on the hunk you want to stage.
6. Use the keybinding to stage the hunk.

Expected:
The hunk gets staged.

Actual:
The changes remain unstaged.
","['bug', 'scm']",2025-02-16T09:18:16Z,1,0,https://github.com/microsoft/vscode/issues/240935,UI/UX Bug
9,microsoft/vscode,"When GPU rendering is enabled, editor content elements are positioned incorrectly after zooming with the mouse","<!-- ???? Do Not Delete This! bug_report_template ???? -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- ?? Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- ?? Search existing issues to avoid creating duplicates. -->
<!-- ?? Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- ?? Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- ?? Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes

<!-- ?? If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- ?? Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code Version: 1.97.2
- OS Version: 24H2

https://github.com/user-attachments/assets/b8029f5a-5fb2-47eb-9c5e-bd91754221c6

---
zoom+

![Image](https://github.com/user-attachments/assets/160230fd-cfa3-47f5-a35c-dd3a9575e9af)

zoom-

![Image](https://github.com/user-attachments/assets/cde8ab18-329a-4ad6-b604-39fbed2eecaf)","['bug', 'editor-gpu']",2025-02-15T17:28:24Z,0,0,https://github.com/microsoft/vscode/issues/240903,Logical Bug
10,microsoft/vscode,"The `console: internalConsole` is ineffective for `electron.cmd`, BUT works for other file names","<!-- ???? Do Not Delete This! bug_report_template ???? -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- ?? Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- ?? Search existing issues to avoid creating duplicates. -->
<!-- ?? Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- ?? Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- ?? Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes

<!-- ?? If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- ?? Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code version: Code 1.97.2 (e54c774e0add60467559eb0d1e229c6452cf8447, 2025-02-12T23:20:35.343Z)
- OS version: Windows_NT x64 10.0.26100

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|AMD Ryzen 7 9700X 8-Core Processor              (16 x 3793)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|4.00GB (1.68GB free)|
|Process Argv|--disable-extensions --crash-reporter-id fd890125-9092-4d18-a61f-dd531a5fba5e|
|Screen Reader|no|
|VM|0%|
</details>

## Issue Description

I was following the [Electron - Building your First App](https://www.electronjs.org/docs/latest/tutorial/tutorial-first-app#optional-debugging-from-vs-code) guide to create a simple Electron app, added a debugging configuration, but was unable to run it in VSCode. It reported that it couldn't find the Node.js installed via fnm.

I can easily fix this issue by adding Node.js to the PATH, but during my investigation, I discovered a very confusing phenomenon: This issue only occurs when targeting `""runtimeExecutable"": ""${workspaceFolder}/node_modules/.bin/electron.cmd""`. If I rename the file, everything works fine.

My experiments confirm that the `console: internalConsole` option works for files other than `electron.cmd` because it prints out a PATH that includes fnm-generated entries, proving that the PowerShell profile script was executed. 
And after removing this line, the previously working launch task now also reports that Node.js cannot be found. 
However, when targeting `electron.cmd`, the printed PATH only contains the system-configured values, without the dynamically generated profile entries.

## Steps to Reproduce
I can reproduce this behavior on a freshly installed Windows system:

1. Download and install VSCode and fnm, then run `fnm install 22`
2. Complete fnm’s [shell integration setup](https://github.com/Schniz/fnm?tab=readme-ov-file#powershell)
    ```powershell
    if (-not (Test-Path $profile)) { New-Item $profile -Force }
    echo ""fnm env --use-on-cd --shell powershell | Out-String | Invoke-Expression"" >> $profile
    ```

3. Verify system environment variables—Node.js should not be in PATH, but fnm should be:
    ```powershell
    $ $env:PATH
    C:\Users\<omitted>\AppData\Local\fnm_multishells\17496_1739626282534;C:\Program Files\PowerShell\7;<omitted>
    ```

4. Clone the example repo, install dependencies, and add the tutorial's launch configuration with `integratedTerminal` set:
    ```powershell
    git clone https://github.com/electron/electron-quick-start.git
    cd electron-quick-start
    npm install
    mkdir .vscode
    touch .vscode/launch.json
    ```

    ```json
    {
      ""version"": ""0.2.0"",
      ""configurations"": [
        {
          ""name"": ""Main"",
          ""type"": ""node"",
          ""request"": ""launch"",
          ""cwd"": ""${workspaceFolder}"",
          ""runtimeExecutable"": ""${workspaceFolder}/node_modules/.bin/electron"",
          ""windows"": {
            ""runtimeExecutable"": ""${workspaceFolder}/node_modules/.bin/electron.cmd""
          },
          ""args"": [""."", ""--remote-debugging-port=9222""],
          ""outputCapture"": ""std"",
          ""console"": ""integratedTerminal""
        }
      ]
    }
    ```
5. Open the folder in VSCode and start debugging `Main`.

## Expected Result
An Electron window should launch and debugging should work as expected.

## Actual Result
An error popup appears with a ""Open 'launch.json'"" button in the bottom-right corner:
    ```
    Can't find Node.js binary ""<omitted>\node_modules\.bin\electron.cmd"":
    error getting version: <omitted>\node_modules\.bin\electron.cmd exited with code 1:
    '""node""' is not recognized as an internal or external command, operable program or batch file
    Make sure Node.js is installed and in your PATH, or set the ""runtimeExecutable"" in your launch.json
    ```

---
The most frustrating part is that this issue only affects `node_modules\.bin\electron.cmd`. If I copy the file and change nothing else, it works fine:


```powershell
$ cp node_modules\.bin\electron.cmd node_modules\.bin\electron2.cmd
$ (Get-Content .vscode\launch.json) -replace 'electron\.cmd', 'electron2.cmd' | Out-File -Encoding UTF8 output.json
$ cp output.json .vscode\launch.json
```

<details>
<summary>`.vscode\launch.json` after edit</summary>

```json
{
  ""version"": ""0.2.0"",
  ""configurations"": [
    {
      ""name"": ""Main"",
      ""type"": ""node"",
      ""request"": ""launch"",
      ""cwd"": ""${workspaceFolder}"",
      ""runtimeExecutable"": ""${workspaceFolder}/node_modules/.bin/electron"",
      ""windows"": {
        ""runtimeExecutable"": ""${workspaceFolder}/node_modules/.bin/electron2.cmd""
      },
      ""args"": [""."", ""--remote-debugging-port=9222""],
      ""outputCapture"": ""std"",
      ""console"": ""integratedTerminal""
    }
  ]
}
```
</details>

Additionally, when pressing F5 to start debugging, VSCode’s integrated terminal pops up and prints some output—this does not happen when using `electron.cmd`:
```powershell
${env:NODE_OPTIONS}=' --require ""c:/Users/<omitted>/AppData/Local/Programs/Microsoft VS Code/resources/app/extensions/ms-vscode.js-debug/src/bootloader.js"" '; ${env:VSCODE_INSPECTOR_OPTIONS}=':::{""inspectorIpc"":""\\\\.\\pipe\\node-cdp.8392-dbb2230e-5.sock"",""deferredMode"":false,""waitForDebugger"":"""",""onlyEntrypoint"":false,""autoAttachMode"":""always"",""fileCallback"":""C:\\Users\\<omitted>\\AppData\\Local\\Temp\\node-debug-callback-551c913f41a77523""}'; & 'C:\Users\<omitted>\electron-quick-start/node_modules/.bin/electron2.cmd' '.' '--remote-debugging-port=9222' 
```

![Image](https://github.com/user-attachments/assets/042ec4cc-9b2f-445d-abf3-b6ab363e38a0)

## Related Investigations

I found some similar issues:
- https://github.com/microsoft/vscode/issues/106537#issuecomment-692781598 
  Adding `""integratedTerminal""` to other configurations does help, but not for `electron.cmd`.
- https://github.com/microsoft/vscode-js-debug/issues/865
  Adding Node.js or fnm’s link directly to PATH solves the issue, but it doesn’t feel elegant.
    ```
    [Environment]::SetEnvironmentVariable(""Path"", ""$userPath;C:\Users\<omitted>\AppData\Roaming\fnm\aliases\default"", ""User"")
    ```

Is there any hardcode strings handing around? I couldn't classify this issue as related to fnm, Node.js, Electron or any extension, maybe this is related to `internalConsole` settings, so I decided to post it under VSCode. ","['bug', 'debug']",2025-02-15T15:22:54Z,1,0,https://github.com/microsoft/vscode/issues/240901,Runtime Error
